rank,cbsa,name,core_name,state,population,vintage
106,38940,"Port St. Lucie, FL Metro Area",Port St. Lucie,FL,556336,2024
107,26620,"Huntsville, AL Metro Area",Huntsville,AL,542297,2024
108,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",Pensacola-Ferry Pass-Brent,FL,538928,2024
109,30460,"Lexington-Fayette, KY Metro Area",Lexington-Fayette,KY,533366,2024
110,28660,"Killeen-Temple, TX Metro Area",Killeen-Temple,TX,509487,2024
111,44180,"Springfield, MO Metro Area",Springfield,MO,496975,2024
112,42220,"Santa Rosa-Petaluma, CA Metro Area",Santa Rosa-Petaluma,CA,485375,2024
113,47300,"Visalia, CA Metro Area",Visalia,CA,483546,2024
114,48900,"Wilmington, NC Metro Area",Wilmington,NC,480522,2024
115,29620,"Lansing-East Lansing, MI Metro Area",Lansing-East Lansing,MI,479971,2024
116,49620,"York-Hanover, PA Metro Area",York-Hanover,PA,471240,2024
117,44140,"Springfield, MA Metro Area",Springfield,MA,464151,2024
118,23060,"Fort Wayne, IN Metro Area",Fort Wayne,IN,462978,2024
119,47930,"Waterbury-Shelton, CT Metro Area",Waterbury-Shelton,CT,462220,2024
120,46700,"Vallejo, CA Metro Area",Vallejo,CA,455101,2024
121,18580,"Corpus Christi, TX Metro Area",Corpus Christi,TX,450187,2024
122,42200,"Santa Maria-Santa Barbara, CA Metro Area",Santa Maria-Santa Barbara,CA,444500,2024
123,41420,"Salem, OR Metro Area",Salem,OR,443416,2024
124,39740,"Reading, PA Metro Area",Reading,PA,439117,2024
125,41500,"Salinas, CA Metro Area",Salinas,CA,436251,2024
126,15180,"Brownsville-Harlingen, TX Metro Area",Brownsville-Harlingen,TX,431874,2024
127,42340,"Savannah, GA Metro Area",Savannah,GA,431589,2024
128,31700,"Manchester-Nashua, NH Metro Area",Manchester-Nashua,NH,430462,2024
129,36100,"Ocala, FL Metro Area",Ocala,FL,428905,2024
130,25060,"Gulfport-Biloxi, MS Metro Area",Gulfport-Biloxi,MS,426793,2024
131,49660,"Youngstown-Warren, OH Metro Area",Youngstown-Warren,OH,426086,2024
132,11700,"Asheville, NC Metro Area",Asheville,NC,422333,2024
133,29180,"Lafayette, LA Metro Area",Lafayette,LA,419704,2024
134,34940,"Naples-Marco Island, FL Metro Area",Naples-Marco Island,FL,416233,2024
135,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",Myrtle Beach-Conway-North Myrtle Beach,SC,413391,2024
136,33660,"Mobile, AL Metro Area",Mobile,AL,412339,2024
137,11260,"Anchorage, AK Metro Area",Anchorage,AK,407213,2024
138,22420,"Flint, MI Metro Area",Flint,MI,402279,2024
139,15940,"Canton-Massillon, OH Metro Area",Canton-Massillon,OH,400551,2024
140,13140,"Beaumont-Port Arthur, TX Metro Area",Beaumont-Port Arthur,TX,398733,2024
141,45220,"Tallahassee, FL Metro Area",Tallahassee,FL,397675,2024
142,43900,"Spartanburg, SC Metro Area",Spartanburg,SC,395934,2024
143,22180,"Fayetteville, NC Metro Area",Fayetteville,NC,393812,2024
144,45940,"Trenton-Princeton, NJ Metro Area",Trenton-Princeton,NJ,392138,2024
145,33860,"Montgomery, AL Metro Area",Montgomery,AL,387885,2024
146,43340,"Shreveport-Bossier City, LA Metro Area",Shreveport-Bossier City,LA,383269,2024
147,21660,"Eugene-Springfield, OR Metro Area",Eugene-Springfield,OR,382396,2024
148,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",Davenport-Moline-Rock Island,IA-IL,381801,2024
149,22660,"Fort Collins-Loveland, CO Metro Area",Fort Collins-Loveland,CO,374574,2024
150,11460,"Ann Arbor, MI Metro Area",Ann Arbor,MI,373875,2024
151,25860,"Hickory-Lenoir-Morganton, NC Metro Area",Hickory-Lenoir-Morganton,NC,373031,2024
152,12100,"Atlantic City-Hammonton, NJ Metro Area",Atlantic City-Hammonton,NJ,372989,2024
153,24540,"Greeley, CO Metro Area",Greeley,CO,369745,2024
154,31180,"Lubbock, TX Metro Area",Lubbock,TX,367109,2024
155,26580,"Huntington-Ashland, WV-KY-OH Metro Area",Huntington-Ashland,WV-KY-OH,366920,2024
156,37900,"Peoria, IL Metro Area",Peoria,IL,364565,2024
157,23540,"Gainesville, FL Metro Area",Gainesville,FL,359780,2024
158,30700,"Lincoln, NE Metro Area",Lincoln,NE,350626,2024
159,17300,"Clarksville, TN-KY Metro Area",Clarksville,TN-KY,345955,2024
